종목명,종목코드,탐지가,넥라인,목표가,머리깊이,대칭성,넥라인돌파,A_진입가,A_청산가,A_수익률,A_결과,B_진입가,B_청산가,B_수익률,B_결과
성광벤드,014620,28400,33425,42800,11.6,91.5,O,28400,25560,-10.0,손절,33800.0,30420.0,-10.0,손절
나노신소재,121600,52300,56850,69550,10.9,92.8,O,52300,47070,-10.0,손절,59200.0,53280.0,-10.0,손절
JW중외제약,001060,22350,24300,29000,11.9,98.7,O,22350,29000,29.8,목표달성,25200.0,29000.0,15.1,목표달성
SOOP,067160,90000,124000,169400,10.2,97.6,X,90000,81000,-10.0,손절,,,,돌파실패
이녹스첨단소재,272290,26100,31050,40550,16.5,99.2,O,26100,23490,-10.0,손절,32600.0,37850.0,16.1,기간종료
가온칩스,399720,43850,50450,62400,11.9,98.4,O,43850,62400,42.3,목표달성,50500.0,45450.0,-10.0,손절
성일하이텍,365340,36300,40675,51150,14.0,93.7,O,36300,51150,40.9,목표달성,40750.0,51150.0,25.5,목표달성
CJ4우(전환),00104K,89300,93500,110700,10.1,90.2,O,89300,110700,24.0,목표달성,122800.0,110700.0,-9.9,목표달성
로보스타,090360,20200,27725,37570,12.3,96.0,O,20200,37570,86.0,목표달성,27850.0,37570.0,34.9,목표달성
한국단자,025540,63600,71650,85900,10.9,96.1,O,63600,74500,17.1,기간종료,73000.0,71400.0,-2.2,기간종료
에코프로에이치엔,383310,25300,32125,40700,11.1,90.6,O,25300,22770,-10.0,손절,36450.0,40700.0,11.7,목표달성
큐로셀,372320,29950,34650,45550,15.2,91.4,O,29950,45550,52.1,목표달성,35150.0,45550.0,29.6,목표달성
OCI,456040,55100,64700,77700,10.2,91.0,O,55100,71200,29.2,기간종료,73100.0,77700.0,6.3,목표달성
휴온스글로벌,084110,41400,52175,68600,11.5,97.2,O,41400,51300,23.9,기간종료,58500.0,52650.0,-10.0,손절
케이아이엔엑스,093320,72500,82450,103800,10.0,90.9,O,72500,103800,43.2,목표달성,88200.0,79380.0,-10.0,손절
천보,278280,40200,40650,49800,16.3,92.0,O,40200,49800,23.9,목표달성,42500.0,49800.0,17.2,목표달성
넥스트바이오메디컬,389650,43600,49425,60550,11.1,99.0,O,43600,60550,38.9,목표달성,52100.0,60550.0,16.2,목표달성
프로텍,053610,25900,28400,34750,10.5,94.3,O,25900,34750,34.2,목표달성,28750.0,25875.0,-10.0,손절
티엘비,356860,12360,15400,20150,10.6,93.3,O,12360,20150,63.0,목표달성,25750.0,20150.0,-21.7,목표달성
유니드,014830,70900,84650,110600,14.6,99.0,X,70900,63810,-10.0,손절,,,,돌파실패
덴티움,145720,66900,85650,111400,10.5,95.4,X,66900,60210,-10.0,손절,,,,돌파실패
켐트로닉스,089010,20850,27800,42380,34.7,94.7,O,20850,42380,103.3,목표달성,27950.0,42380.0,51.6,목표달성
동아에스티,170900,45400,51453,62007,12.0,94.7,O,45400,55400,22.0,기간종료,53300.0,55900.0,4.9,기간종료
에스티아이,039440,19640,24275,31580,11.1,95.2,O,19640,17676,-10.0,손절,24600.0,22140.0,-10.0,손절
티에프이,425420,16510,22125,29710,12.9,94.7,O,16510,29710,80.0,목표달성,31900.0,29710.0,-6.9,목표달성
엔젤로보틱스,455900,22900,28100,36710,18.3,90.4,O,22900,20610,-10.0,손절,30500.0,27450.0,-10.0,손절
삼양사,145990,51300,55000,68550,15.0,91.3,X,51300,46170,-10.0,손절,,,,돌파실패
에이디테크놀로지,200710,19900,23825,33040,23.3,91.3,O,19900,33040,66.0,목표달성,24900.0,22410.0,-10.0,손절
삼양홀딩스,000070,42373,43641,51516,13.9,99.5,O,42373,51516,21.6,목표달성,53317.0,51516.0,-3.4,목표달성
씨앤씨인터내셔널,352480,39700,48650,65950,19.5,100.0,X,39700,35730,-10.0,손절,,,,돌파실패
메가스터디교육,215200,45150,46875,56250,11.6,90.8,O,45150,40635,-10.0,손절,49100.0,44190.0,-10.0,손절
데브시스터즈,194480,37200,41400,54050,17.1,94.5,O,37200,54050,45.3,목표달성,41500.0,54050.0,30.2,목표달성
한중엔시에스,107640,27250,30350,40350,19.8,97.4,O,27250,40350,48.1,목표달성,32500.0,40350.0,24.2,목표달성
휴메딕스,200670,34600,41225,57050,22.9,94.2,O,34600,57050,64.9,목표달성,62200.0,57050.0,-8.3,목표달성
티앤엘,340570,69500,81800,106600,12.5,91.9,X,69500,62550,-10.0,손절,,,,돌파실패
골프존,215000,65700,71450,86000,11.0,97.0,X,65700,59130,-10.0,손절,,,,돌파실패
케이엔알시스템,199430,10130,13140,19840,36.8,96.8,O,10130,9117,-10.0,손절,13240.0,19840.0,49.8,목표달성
에이직랜드,445090,29800,38600,53500,23.3,92.9,X,29800,26820,-10.0,손절,,,,돌파실패
슈프리마,236200,26350,28050,33500,10.4,92.7,O,26350,33500,27.1,목표달성,30850.0,33500.0,8.6,목표달성
RF머트리얼즈,327260,5840,7960,11410,25.0,92.2,O,5840,11410,95.4,목표달성,8360.0,11410.0,36.5,목표달성
사피엔반도체,452430,19470,21850,31040,26.6,90.3,O,19470,31040,59.4,목표달성,26500.0,23850.0,-10.0,손절
범한퓨얼셀,382900,16350,17520,22100,15.8,97.5,O,16350,22100,35.2,목표달성,17540.0,22100.0,26.0,목표달성
자람테크놀로지,389020,39250,49625,66150,13.7,97.8,X,39250,35325,-10.0,손절,,,,돌파실패
케이엔제이,272110,16750,19080,23940,11.0,92.1,O,16750,23940,42.9,목표달성,20850.0,23940.0,14.8,목표달성
포스코스틸리온,058430,38400,45275,63100,25.2,93.7,X,38400,42600,10.9,기간종료,,,,돌파실패
한국화장품제조,003350,51200,55350,68450,12.5,95.5,O,51200,68450,33.7,목표달성,63000.0,68450.0,8.7,목표달성
타이거일렉,219130,11800,15120,20620,16.7,97.4,O,11800,20620,74.7,목표달성,18100.0,16290.0,-10.0,손절
HS효성,487570,38500,43500,57900,25.5,95.5,O,38500,57900,50.4,목표달성,57600.0,57900.0,0.5,목표달성
새빗켐,107600,15730,20750,29000,21.4,95.1,O,15730,29000,84.4,목표달성,21450.0,29000.0,35.2,목표달성
