종목명,종목코드,현재가,시가총액,패턴상태,어깨대칭성,넥라인가격,목표가,손절가,예상수익률,신뢰도점수,일평균거래대금,패턴기간,머리깊이,시간대칭성,왼쪽어깨idx,머리idx,오른쪽어깨idx,왼쪽어깨가격,머리가격,오른쪽어깨가격
전진건설로봇,079900,56800,828856556000,돌파임박,96.8,55500,70800,40200,24.6,95.6,26680297005,100,17.5,100.0,146,196,246,47950,40200,49500
인투셀,287840,45250,679291190000,돌파임박,99.1,42825,64250,21400,42.0,95.4,10490573337,72,42.4,63.6,26,54,98,37350,21400,37000
엘케이켐,489500,49350,309822063600,돌파임박,98.8,33400,46800,20000,-5.2,94.2,17317681927,175,19.8,54.9,46,159,221,24800,20000,25100
세아베스틸지주,001430,83800,3005245572200,돌파임박,99.0,29425,35800,23050,-57.3,94.0,37266774050,62,11.3,93.8,136,168,198,26100,23050,25850
선익시스템,171090,91300,875976571800,돌파임박,96.7,52625,71250,34000,-22.0,92.0,23381668772,172,19.4,56.4,26,136,198,41500,34000,42900
더존비즈온,012510,83600,2540000742400,돌파임박,92.8,79750,105200,54300,25.8,89.4,23824372400,115,15.4,88.5,21,82,136,66500,54300,61900
오름테라퓨틱,475830,109000,2314328112000,돌파임박,97.2,27150,37370,16930,-65.7,89.1,50464003675,90,26.3,87.5,37,85,127,23300,16930,22650
주성엔지니어링,036930,47050,2223974503050,돌파임박,98.2,34225,41800,26650,-11.2,89.0,44456322822,62,11.4,51.2,176,217,238,29800,26650,30350
에코프로비엠,247540,198200,19384226380800,돌파임박,98.9,132950,177000,88900,-10.7,87.9,285417990590,147,19.3,93.4,22,93,169,110700,88900,109500
이노와이어리스,073490,32000,243323072000,돌파임박,93.4,24025,29770,18280,-7.0,87.8,5301729080,110,10.3,93.0,89,146,199,19700,18280,21050
ISC,095340,163500,3465718983000,돌파임박,94.9,66000,81800,50200,-50.0,87.7,37789459730,119,11.2,72.5,26,95,145,58000,50200,55100
삼양엔씨켐,482630,39500,432293530000,돌파임박,97.4,21520,28110,14930,-28.8,87.6,16873776722,81,10.5,50.0,116,143,197,16900,14930,16460
달바글로벌,483650,169100,2095599651500,돌파임박,92.2,165500,203000,128000,20.0,86.6,26127943195,73,11.3,87.2,99,133,172,138700,128000,149900
넥스틴,348210,79300,830826496500,돌파임박,94.6,61900,83050,40750,4.7,85.7,9667348390,117,24.5,88.7,83,145,200,52500,40750,55400
두산테스나,131970,60800,1175096070400,돌파임박,98.5,31300,40550,22050,-33.3,85.7,25137907425,91,18.0,82.0,26,76,117,27100,22050,26700
이마트,139480,102200,2820292701800,돌파임박,91.6,92350,114400,70300,11.9,85.7,29973223355,101,15.2,65.6,125,186,226,86400,70300,79400
대덕전자,353200,58900,2910656882500,돌파임박,98.1,18615,23430,13800,-60.2,85.5,74779386262,76,16.8,90.0,26,62,102,16420,13800,16740
티에스이,131290,89800,993316324200,돌파임박,91.0,56700,77250,36150,-14.0,85.4,12705479540,175,17.5,56.2,24,136,199,41850,36150,45800
파두,440110,45150,2234622178950,돌파임박,90.2,14345,18630,10060,-58.7,85.1,50102239365,87,18.8,55.4,26,82,113,13000,10060,11780
태성,323280,73200,2235380136000,돌파임박,95.5,35100,49750,20450,-32.0,84.0,44640418467,131,22.5,72.4,26,81,157,27000,20450,25800
넥스트바이오메디컬,389650,72400,593961346400,돌파임박,99.0,49425,60550,38300,-16.4,84.0,11305154840,82,11.1,95.2,25,67,107,43300,38300,42850
유진테크,084370,101800,2332853075600,돌파임박,93.3,46175,61500,30850,-39.6,83.8,35256120915,101,21.6,98.0,26,77,127,38000,30850,40650
아이티센글로벌,124500,45450,1054645752150,돌파임박,97.5,27650,38300,17000,-15.7,83.5,28310822840,119,21.6,52.6,98,176,217,21950,17000,21400
LG,003550,89700,13833676174500,돌파임박,98.6,86750,103400,70100,15.3,83.5,32143315665,125,10.2,98.4,106,169,231,77500,70100,78600
씨메스,475400,37250,435886909500,돌파임박,92.7,33875,48320,19430,29.7,83.4,20235953645,137,25.0,82.7,62,137,199,24950,19430,26850
한올바이오파마,009420,48800,2549343134400,돌파임박,96.7,37025,48500,25550,-0.6,83.2,30705920727,157,22.9,51.0,21,125,178,33700,25550,32600
HPSP,403870,45850,3851359652000,돌파임박,98.2,30475,39800,21150,-13.2,83.0,96386863155,112,13.6,80.6,26,76,138,24250,21150,24700
두산로보틱스,454910,101700,6592191966000,돌파임박,94.2,69750,93750,45750,-7.8,82.9,166864228180,141,26.1,56.7,26,77,167,60100,45750,63700
케이씨텍,281820,46850,969341632550,돌파임박,97.6,37625,49900,25350,6.5,82.8,7640505647,120,18.8,57.9,26,102,146,31600,25350,30850
코리아써키트,007810,53000,1251899803000,돌파임박,96.6,13225,17170,9280,-67.6,82.7,36659336080,110,16.2,80.3,26,75,136,10880,9280,11260
